concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,item_id,version
0.8,0.6,0.7,21,encoded
0.6,0.4,0.5,21,consolidated
0.4,0.3,0.5,21,imagined
0.8,0.6,0.7,22,original
0.8,0.7,0.6,22,encoded
0.8,0.7,0.6,22,consolidated
0.8,0.7,0.6,22,imagined
0.9,0.7,0.8,23,original
0.8,0.6,0.7,23,encoded
0.8,0.6,0.7,23,consolidated
0.5,0.4,0.5,23,imagined
0.7,0.5,0.6,24,original
0.8,0.6,0.7,24,encoded
0.8,0.6,0.7,24,consolidated
0.7,0.6,0.5,24,imagined
0.7,0.5,0.6,25,original
0.6,0.4,0.5,25,encoded
0.6,0.4,0.5,25,consolidated
0.7,0.5,0.6,25,imagined
0.6,0.4,0.5,26,original
0.6,0.4,0.5,26,encoded
0.6,0.4,0.5,26,consolidated
0.8,0.7,0.6,26,imagined
0.8,0.5,0.7,27,original
0.7,0.5,0.6,27,encoded
0.6,0.4,0.5,27,consolidated
0.2,0.1,0.3,27,imagined
0.8,0.5,0.7,28,original
0.7,0.5,0.6,28,encoded
0.7,0.5,0.6,28,consolidated
0.8,0.6,0.7,28,imagined
0.6,0.4,0.5,29,original
0.5,0.3,0.4,29,encoded
0.5,0.3,0.4,29,consolidated
0.2,0.1,0.3,29,imagined
0.8,0.6,0.7,30,original
0.8,0.6,0.7,30,encoded
0.8,0.6,0.7,30,consolidated
0.8,0.6,0.7,30,imagined
0.6,0.5,0.5,31,original
0.6,0.4,0.5,31,encoded
0.6,0.4,0.5,31,consolidated
0.6,0.5,0.4,31,imagined
0.5,0.4,0.5,32,original
0.6,0.4,0.5,32,encoded
0.6,0.5,0.4,32,consolidated
0.8,0.6,0.7,32,imagined
0.7,0.5,0.6,33,original
0.6,0.4,0.5,33,encoded
0.6,0.4,0.5,33,consolidated
0.3,0.2,0.4,33,imagined
0.6,0.5,0.5,34,original
0.6,0.4,0.5,34,encoded
0.6,0.4,0.5,34,consolidated
0.7,0.6,0.5,34,imagined
0.8,0.5,0.7,35,original
0.6,0.5,0.5,35,encoded
0.7,0.6,0.5,35,consolidated
0.8,0.7,0.6,35,imagined
0.9,0.8,0.9,36,original
0.8,0.6,0.7,36,encoded
0.8,0.7,0.6,36,consolidated
0.7,0.6,0.5,36,imagined
0.7,0.5,0.6,37,original
0.6,0.5,0.5,37,encoded
0.5,0.4,0.5,37,consolidated
0.7,0.5,0.6,37,imagined
0.6,0.4,0.5,38,original
0.6,0.5,0.5,38,encoded
0.7,0.6,0.5,38,consolidated
0.6,0.5,0.5,38,imagined
0.6,0.4,0.5,39,original
0.7,0.5,0.6,39,encoded
0.7,0.5,0.6,39,consolidated
0.8,0.6,0.7,39,imagined
0.6,0.4,0.5,40,original
0.7,0.5,0.6,40,encoded
0.6,0.4,0.5,40,consolidated
0.4,0.3,0.5,40,imagined
0.8,0.6,0.7,41,original
0.7,0.5,0.6,41,encoded
0.6,0.4,0.5,41,consolidated
0.7,0.5,0.6,41,imagined
0.5,0.3,0.4,42,original
0.5,0.4,0.5,42,encoded
0.4,0.3,0.4,42,consolidated
0.6,0.5,0.5,42,imagined
0.8,0.7,0.8,43,original
0.8,0.7,0.6,43,encoded
0.7,0.6,0.5,43,consolidated
0.4,0.3,0.5,43,imagined
0.7,0.5,0.6,44,original
0.7,0.5,0.6,44,encoded
0.7,0.5,0.6,44,consolidated
0.6,0.4,0.5,44,imagined
0.7,0.5,0.6,45,original
0.8,0.6,0.7,45,encoded
0.7,0.5,0.6,45,consolidated
0.7,0.5,0.6,45,imagined
0.9,0.7,0.8,46,original
0.9,0.7,0.8,46,encoded
0.9,0.8,0.9,46,consolidated
0.7,0.6,0.5,46,imagined
0.8,0.6,0.7,47,original
0.8,0.5,0.6,47,encoded
0.7,0.5,0.6,47,consolidated
0.3,0.2,0.4,47,imagined
0.7,0.5,0.6,48,original
0.7,0.5,0.6,48,encoded
0.7,0.5,0.6,48,consolidated
0.9,0.8,0.7,48,imagined
0.8,0.7,0.6,49,original
0.8,0.6,0.7,49,encoded
0.8,0.6,0.7,49,consolidated
0.8,0.7,0.6,49,imagined
0.8,0.6,0.7,50,original
0.8,0.6,0.7,50,encoded
0.8,0.6,0.7,50,consolidated
0.2,0.1,0.3,50,imagined
0.8,0.7,0.6,51,original
0.7,0.5,0.6,51,encoded
0.7,0.6,0.5,51,consolidated
0.7,0.6,0.5,51,imagined
0.4,0.3,0.4,52,original
0.6,0.4,0.5,52,encoded
0.5,0.4,0.5,52,consolidated
0.2,0.1,0.3,52,imagined
0.6,0.4,0.5,53,original
0.6,0.5,0.5,53,encoded
0.7,0.5,0.6,53,consolidated
0.6,0.4,0.5,53,imagined
0.8,0.5,0.6,54,original
0.9,0.8,0.9,54,encoded
0.9,0.8,0.9,54,consolidated
0.8,0.7,0.6,54,imagined
0.8,0.7,0.8,55,original
0.8,0.6,0.7,55,encoded
0.8,0.6,0.7,55,consolidated
0.3,0.2,0.4,55,imagined
0.4,0.3,0.4,56,original
0.5,0.3,0.4,56,encoded
0.5,0.2,0.4,56,consolidated
0.8,0.6,0.7,56,imagined
0.7,0.5,0.6,57,original
0.7,0.5,0.6,57,encoded
0.7,0.5,0.6,57,consolidated
0.4,0.5,0.3,57,imagined
0.6,0.4,0.5,58,original
0.6,0.5,0.5,58,encoded
0.7,0.6,0.5,58,consolidated
0.2,0.1,0.3,58,imagined
0.6,0.4,0.5,59,original
0.8,0.7,0.6,59,encoded
0.5,0.4,0.4,59,consolidated
0.6,0.5,0.5,59,imagined
0.4,0.3,0.5,60,original
0.6,0.4,0.5,60,encoded
0.4,0.3,0.4,60,consolidated
0.5,0.4,0.5,60,imagined
0.8,0.7,0.6,61,original
0.8,0.6,0.7,61,encoded
0.8,0.6,0.7,61,consolidated
0.4,0.3,0.5,61,imagined
0.7,0.5,0.6,62,original
0.8,0.5,0.6,62,encoded
0.8,0.6,0.7,62,consolidated
0.4,0.3,0.5,62,imagined
0.7,0.5,0.6,63,original
0.6,0.4,0.5,63,encoded
0.6,0.4,0.5,63,consolidated
0.6,0.5,0.5,63,imagined
0.6,0.4,0.5,64,original
0.6,0.4,0.5,64,encoded
0.6,0.4,0.5,64,consolidated
0.6,0.4,0.5,64,imagined
0.8,0.7,0.8,65,original
0.7,0.6,0.5,65,encoded
0.7,0.6,0.5,65,consolidated
0.2,0.1,0.3,65,imagined
0.7,0.5,0.6,66,original
0.7,0.6,0.5,66,encoded
0.7,0.6,0.5,66,consolidated
0.8,0.7,0.6,66,imagined
0.7,0.5,0.6,67,original
0.6,0.4,0.5,67,encoded
0.6,0.4,0.5,67,consolidated
0.7,0.5,0.6,67,imagined
0.7,0.5,0.6,68,original
0.7,0.5,0.6,68,encoded
0.7,0.5,0.6,68,consolidated
0.3,0.4,0.5,68,imagined
0.8,0.6,0.7,69,original
0.8,0.6,0.7,69,encoded
0.8,0.6,0.7,69,consolidated
0.9,0.8,0.7,69,imagined
0.8,0.7,0.6,70,original
0.6,0.4,0.5,70,encoded
0.8,0.6,0.7,70,consolidated
0.6,0.4,0.5,70,imagined
0.6,0.4,0.5,71,original
0.8,0.6,0.7,71,encoded
0.7,0.5,0.6,71,consolidated
0.6,0.5,0.5,71,imagined
0.9,0.8,0.9,72,original
0.8,0.6,0.7,72,encoded
0.8,0.6,0.7,72,consolidated
0.7,0.6,0.5,72,imagined
0.7,0.5,0.6,73,original
0.7,0.5,0.6,73,encoded
0.6,0.4,0.5,73,consolidated
0.4,0.3,0.5,73,imagined
0.5,0.4,0.5,74,original
0.7,0.5,0.6,74,encoded
0.4,0.3,0.4,74,consolidated
0.2,0.1,0.3,74,imagined
0.7,0.3,0.5,75,original
0.4,0.3,0.4,75,encoded
0.5,0.3,0.4,75,consolidated
0.2,0.1,0.3,75,imagined
0.8,0.7,0.6,76,original
0.8,0.7,0.6,76,encoded
0.8,0.7,0.6,76,consolidated
0.3,0.2,0.4,76,imagined
0.7,0.6,0.5,77,original
0.3,0.2,0.4,77,encoded
0.6,0.4,0.5,77,consolidated
0.4,0.3,0.5,77,imagined
0.9,0.7,0.8,78,original
0.8,0.6,0.7,78,encoded
0.8,0.6,0.7,78,consolidated
0.8,0.7,0.6,78,imagined
0.7,0.4,0.6,79,original
0.8,0.5,0.7,79,encoded
0.7,0.5,0.6,79,consolidated
0.4,0.3,0.5,79,imagined
0.4,0.3,0.5,80,original
0.7,0.5,0.6,80,encoded
0.6,0.4,0.5,80,consolidated
0.6,0.5,0.4,80,imagined
0.8,0.6,0.7,81,original
0.6,0.5,0.4,81,encoded
0.7,0.6,0.5,81,consolidated
0.4,0.3,0.4,81,imagined
0.7,0.5,0.6,82,original
0.6,0.4,0.5,82,encoded
0.6,0.4,0.5,82,consolidated
0.7,0.5,0.6,82,imagined
0.6,0.5,0.4,83,original
0.4,0.3,0.5,83,encoded
0.6,0.4,0.5,83,consolidated
0.4,0.3,0.5,83,imagined
0.8,0.7,0.6,84,original
0.6,0.5,0.4,84,encoded
0.7,0.5,0.6,84,consolidated
0.2,0.1,0.3,84,imagined
0.8,0.7,0.8,85,original
0.4,0.3,0.4,85,encoded
0.7,0.6,0.5,85,consolidated
0.4,0.5,0.4,85,imagined
0.8,0.6,0.7,86,original
0.7,0.5,0.6,86,encoded
0.6,0.4,0.5,86,consolidated
0.8,0.7,0.6,86,imagined
0.4,0.3,0.4,87,original
0.6,0.4,0.5,87,encoded
0.4,0.3,0.4,87,consolidated
0.6,0.4,0.5,87,imagined
0.7,0.6,0.7,88,original
0.8,0.6,0.7,88,encoded
0.8,0.6,0.7,88,consolidated
0.7,0.5,0.6,88,imagined
0.5,0.3,0.4,89,original
0.5,0.4,0.5,89,encoded
0.5,0.4,0.5,89,consolidated
0.4,0.3,0.5,89,imagined
0.4,0.3,0.4,90,original
0.3,0.2,0.4,90,encoded
0.3,0.2,0.4,90,consolidated
0.2,0.3,0.4,90,imagined
0.8,0.6,0.7,91,original
0.8,0.6,0.7,91,encoded
0.8,0.6,0.7,91,consolidated
0.7,0.5,0.6,91,imagined
0.8,0.6,0.7,92,original
0.8,0.6,0.7,92,encoded
0.8,0.6,0.7,92,consolidated
0.6,0.4,0.5,92,imagined
0.7,0.5,0.6,93,original
0.6,0.5,0.5,93,encoded
0.7,0.5,0.6,93,consolidated
0.6,0.4,0.5,93,imagined
0.7,0.5,0.6,94,original
0.6,0.4,0.5,94,encoded
0.6,0.4,0.5,94,consolidated
0.4,0.3,0.5,94,imagined
0.8,0.6,0.7,95,original
0.6,0.4,0.5,95,encoded
0.6,0.3,0.5,95,consolidated
0.6,0.4,0.5,95,imagined
0.4,0.3,0.4,96,original
0.3,0.2,0.4,96,encoded
0.4,0.3,0.4,96,consolidated
0.6,0.4,0.5,96,imagined
0.9,0.7,0.8,97,original
0.9,0.7,0.8,97,encoded
0.8,0.7,0.6,97,consolidated
0.8,0.7,0.6,97,imagined
0.8,0.7,0.8,98,original
0.8,0.6,0.7,98,encoded
0.7,0.6,0.7,98,consolidated
0.8,0.7,0.6,98,imagined
0.6,0.4,0.5,99,original
0.6,0.4,0.5,99,encoded
0.6,0.4,0.5,99,consolidated
0.8,0.6,0.7,99,imagined
0.8,0.6,0.7,100,original
0.8,0.6,0.7,100,encoded
0.8,0.6,0.7,100,consolidated
0.4,0.5,0.4,100,imagined
0.7,0.5,0.6,101,original
0.6,0.4,0.5,101,encoded
0.5,0.4,0.5,101,consolidated
0.6,0.5,0.4,101,imagined
0.8,0.7,0.6,102,original
0.9,0.8,0.9,102,encoded
0.8,0.7,0.6,102,consolidated
0.3,0.2,0.4,102,imagined
0.5,0.4,0.5,103,original
0.6,0.4,0.5,103,encoded
0.6,0.4,0.5,103,consolidated
0.4,0.3,0.5,103,imagined
0.6,0.4,0.5,104,original
0.8,0.5,0.6,104,encoded
0.7,0.5,0.6,104,consolidated
0.2,0.1,0.3,104,imagined
0.7,0.5,0.6,105,original
0.7,0.5,0.6,105,encoded
0.6,0.4,0.5,105,consolidated
0.7,0.5,0.6,105,imagined
0.6,0.4,0.5,106,original
0.4,0.3,0.5,106,encoded
0.7,0.5,0.6,106,consolidated
0.2,0.1,0.3,106,imagined
0.7,0.5,0.6,107,original
0.8,0.6,0.7,107,encoded
0.6,0.4,0.5,107,consolidated
0.4,0.3,0.5,107,imagined
0.8,0.6,0.7,108,original
0.8,0.6,0.7,108,encoded
0.8,0.6,0.7,108,consolidated
0.8,0.7,0.6,108,imagined
0.8,0.7,0.6,109,original
0.7,0.5,0.6,109,encoded
0.7,0.5,0.6,109,consolidated
0.3,0.2,0.4,109,imagined
0.6,0.4,0.5,110,original
0.7,0.4,0.6,110,encoded
0.8,0.6,0.7,110,consolidated
0.4,0.3,0.5,110,imagined
0.6,0.4,0.5,111,original
0.7,0.5,0.6,111,encoded
0.6,0.5,0.5,111,consolidated
0.7,0.5,0.6,111,imagined
0.6,0.5,0.5,112,original
0.5,0.4,0.4,112,encoded
0.4,0.3,0.4,112,consolidated
0.3,0.2,0.4,112,imagined
0.8,0.5,0.7,113,original
0.8,0.6,0.7,113,encoded
0.9,0.7,0.8,113,consolidated
0.3,0.2,0.4,113,imagined
0.5,0.4,0.4,114,original
0.4,0.3,0.4,114,encoded
0.4,0.3,0.4,114,consolidated
0.8,0.7,0.6,114,imagined
0.8,0.7,0.6,115,original
0.8,0.6,0.7,115,encoded
0.8,0.6,0.7,115,consolidated
0.8,0.7,0.6,115,imagined
0.7,0.5,0.6,116,original
0.7,0.5,0.6,116,encoded
0.6,0.4,0.5,116,consolidated
0.8,0.7,0.6,116,imagined
0.8,0.7,0.6,117,original
0.7,0.6,0.5,117,encoded
0.8,0.6,0.7,117,consolidated
0.7,0.5,0.6,117,imagined
0.7,0.5,0.6,118,original
0.7,0.5,0.6,118,encoded
0.6,0.4,0.5,118,consolidated
0.6,0.4,0.5,118,imagined
0.8,0.6,0.7,119,original
0.8,0.6,0.7,119,encoded
0.8,0.6,0.7,119,consolidated
0.9,0.7,0.8,119,imagined
0.5,0.4,0.5,120,original
0.6,0.5,0.5,120,encoded
0.6,0.4,0.5,120,consolidated
0.6,0.4,0.5,120,imagined
0.7,0.5,0.6,121,original
0.7,0.5,0.6,121,encoded
0.8,0.5,0.6,121,consolidated
0.4,0.3,0.5,121,imagined
0.8,0.5,0.6,122,original
0.9,0.7,0.8,122,encoded
0.8,0.6,0.7,122,consolidated
0.3,0.2,0.4,122,imagined
0.8,0.6,0.7,123,original
0.9,0.6,0.8,123,encoded
0.8,0.5,0.6,123,consolidated
0.6,0.5,0.5,123,imagined
0.8,0.6,0.7,124,original
0.7,0.6,0.5,124,encoded
0.8,0.6,0.7,124,consolidated
0.4,0.3,0.5,124,imagined
0.7,0.5,0.6,125,original
0.8,0.6,0.7,125,encoded
0.8,0.6,0.7,125,consolidated
0.3,0.2,0.4,125,imagined
0.5,0.3,0.4,126,original
0.5,0.3,0.4,126,encoded
0.6,0.4,0.5,126,consolidated
0.6,0.5,0.4,126,imagined
0.8,0.6,0.7,127,original
0.7,0.4,0.6,127,encoded
0.7,0.5,0.6,127,consolidated
0.9,0.8,0.7,127,imagined
0.8,0.6,0.7,128,original
0.7,0.5,0.6,128,encoded
0.8,0.5,0.7,128,consolidated
0.2,0.1,0.3,128,imagined
0.8,0.7,0.6,129,original
0.7,0.5,0.6,129,encoded
0.8,0.7,0.6,129,consolidated
0.8,0.7,0.6,129,imagined
0.6,0.4,0.5,130,original
0.6,0.4,0.5,130,encoded
0.6,0.4,0.5,130,consolidated
0.7,0.6,0.5,130,imagined
0.8,0.7,0.6,131,original
0.8,0.6,0.7,131,encoded
0.7,0.5,0.6,131,consolidated
0.7,0.6,0.5,131,imagined
0.8,0.6,0.7,132,original
0.6,0.4,0.5,132,encoded
0.7,0.5,0.6,132,consolidated
0.7,0.6,0.5,132,imagined
0.7,0.4,0.5,133,original
0.6,0.4,0.5,133,encoded
0.7,0.5,0.6,133,consolidated
0.8,0.7,0.6,133,imagined
0.7,0.5,0.6,134,original
0.7,0.4,0.5,134,encoded
0.6,0.4,0.5,134,consolidated
0.5,0.4,0.4,134,imagined
0.8,0.6,0.7,135,original
0.6,0.4,0.5,135,encoded
0.8,0.6,0.7,135,consolidated
0.7,0.5,0.6,135,imagined
0.6,0.4,0.5,136,original
0.8,0.6,0.7,136,encoded
0.6,0.5,0.5,136,consolidated
0.5,0.4,0.5,136,imagined
0.5,0.4,0.5,137,original
0.7,0.5,0.6,137,encoded
0.6,0.4,0.5,137,consolidated
0.6,0.5,0.5,137,imagined
0.6,0.4,0.5,138,original
0.6,0.4,0.5,138,encoded
0.6,0.4,0.5,138,consolidated
0.7,0.6,0.5,138,imagined
0.8,0.6,0.7,139,original
0.4,0.3,0.5,139,encoded
0.4,0.3,0.5,139,consolidated
0.8,0.7,0.6,139,imagined
0.7,0.5,0.6,140,original
0.6,0.4,0.5,140,encoded
0.6,0.4,0.5,140,consolidated
0.7,0.6,0.5,140,imagined
0.6,0.4,0.5,141,original
0.8,0.5,0.7,141,encoded
0.7,0.4,0.6,141,consolidated
0.6,0.4,0.5,141,imagined
0.8,0.7,0.6,142,original
0.8,0.7,0.6,142,encoded
0.8,0.6,0.7,142,consolidated
0.3,0.2,0.4,142,imagined
0.6,0.3,0.5,143,original
0.6,0.4,0.5,143,encoded
0.6,0.4,0.5,143,consolidated
0.5,0.4,0.5,143,imagined
0.8,0.6,0.7,144,original
0.6,0.5,0.5,144,encoded
0.5,0.4,0.5,144,consolidated
0.5,0.4,0.5,144,imagined
0.5,0.4,0.5,145,original
0.7,0.5,0.6,145,encoded
0.5,0.3,0.4,145,consolidated
0.4,0.3,0.5,145,imagined
0.7,0.5,0.6,146,original
0.7,0.4,0.6,146,encoded
0.6,0.4,0.5,146,consolidated
0.6,0.4,0.5,146,imagined
0.6,0.4,0.5,147,original
0.7,0.3,0.5,147,encoded
0.6,0.4,0.5,147,consolidated
0.4,0.3,0.5,147,imagined
0.7,0.5,0.6,148,original
0.7,0.5,0.6,148,encoded
0.7,0.5,0.6,148,consolidated
0.7,0.5,0.6,148,imagined
0.6,0.4,0.5,149,original
0.6,0.4,0.5,149,encoded
0.6,0.4,0.5,149,consolidated
0.5,0.3,0.4,149,imagined
0.8,0.6,0.7,150,original
0.7,0.5,0.6,150,encoded
0.7,0.5,0.6,150,consolidated
0.8,0.7,0.6,150,imagined
0.9,0.8,0.9,151,original
0.8,0.7,0.6,151,encoded
0.8,0.7,0.6,151,consolidated
0.8,0.7,0.6,151,imagined
0.6,0.4,0.5,152,original
0.6,0.4,0.5,152,encoded
0.7,0.5,0.6,152,consolidated
0.3,0.2,0.4,152,imagined
0.8,0.6,0.7,153,original
0.6,0.3,0.4,153,encoded
0.7,0.3,0.4,153,consolidated
0.9,0.8,0.7,153,imagined
0.5,0.3,0.4,154,original
0.6,0.4,0.5,154,encoded
0.6,0.4,0.5,154,consolidated
0.4,0.3,0.5,154,imagined
0.4,0.3,0.4,155,original
0.4,0.3,0.2,155,encoded
0.6,0.4,0.5,155,consolidated
0.4,0.3,0.5,155,imagined
0.8,0.6,0.7,156,original
0.8,0.6,0.7,156,encoded
0.7,0.6,0.5,156,consolidated
0.6,0.5,0.4,156,imagined
0.8,0.6,0.7,157,original
0.8,0.7,0.6,157,encoded
0.8,0.7,0.6,157,consolidated
0.4,0.3,0.5,157,imagined
0.7,0.5,0.6,158,original
0.7,0.6,0.5,158,encoded
0.7,0.6,0.5,158,consolidated
0.8,0.7,0.6,158,imagined
0.6,0.5,0.5,159,original
0.5,0.4,0.5,159,encoded
0.6,0.5,0.5,159,consolidated
0.4,0.3,0.5,159,imagined
0.7,0.5,0.6,160,original
0.6,0.4,0.5,160,encoded
0.7,0.4,0.5,160,consolidated
0.9,0.7,0.8,160,imagined
0.8,0.7,0.6,161,original
0.7,0.5,0.6,161,encoded
0.7,0.5,0.6,161,consolidated
0.3,0.2,0.4,161,imagined
0.8,0.7,0.6,162,original
0.8,0.6,0.7,162,encoded
0.8,0.6,0.7,162,consolidated
0.8,0.7,0.6,162,imagined
0.8,0.6,0.7,163,original
0.8,0.6,0.7,163,encoded
0.7,0.5,0.6,163,consolidated
0.3,0.2,0.4,163,imagined
0.8,0.6,0.7,164,original
0.7,0.5,0.6,164,encoded
0.6,0.4,0.5,164,consolidated
0.2,0.1,0.3,164,imagined
0.7,0.6,0.7,165,original
0.7,0.6,0.7,165,encoded
0.7,0.6,0.5,165,consolidated
0.4,0.3,0.5,165,imagined
0.8,0.6,0.7,166,original
0.7,0.6,0.5,166,encoded
0.7,0.6,0.5,166,consolidated
0.7,0.6,0.5,166,imagined
0.7,0.5,0.6,167,original
0.7,0.5,0.6,167,encoded
0.8,0.6,0.7,167,consolidated
0.6,0.5,0.4,167,imagined
0.8,0.6,0.7,168,original
0.8,0.6,0.7,168,encoded
0.8,0.6,0.7,168,consolidated
0.9,0.8,0.9,168,imagined
0.8,0.6,0.7,169,original
0.3,0.2,0.4,169,encoded
0.6,0.4,0.5,169,consolidated
0.8,0.7,0.6,169,imagined
0.8,0.7,0.6,170,original
0.8,0.5,0.6,170,encoded
0.8,0.5,0.6,170,consolidated
0.7,0.5,0.6,170,imagined
0.6,0.4,0.5,171,original
0.5,0.4,0.4,171,encoded
0.5,0.4,0.4,171,consolidated
0.6,0.5,0.4,171,imagined
0.6,0.5,0.5,172,original
0.6,0.5,0.5,172,encoded
0.3,0.2,0.4,172,consolidated
0.3,0.2,0.4,172,imagined
0.8,0.6,0.7,173,original
0.8,0.6,0.7,173,encoded
0.8,0.6,0.7,173,consolidated
0.7,0.5,0.6,173,imagined
0.6,0.4,0.5,174,original
0.7,0.6,0.5,174,encoded
0.7,0.5,0.6,174,consolidated
0.8,0.6,0.7,174,imagined
0.8,0.6,0.7,175,original
0.7,0.5,0.6,175,encoded
0.8,0.6,0.7,175,consolidated
0.3,0.2,0.4,175,imagined
0.7,0.5,0.6,176,original
0.8,0.6,0.7,176,encoded
0.6,0.5,0.5,176,consolidated
0.2,0.1,0.3,176,imagined
0.8,0.6,0.7,177,original
0.8,0.5,0.6,177,encoded
0.8,0.6,0.7,177,consolidated
0.8,0.6,0.7,177,imagined
0.8,0.6,0.7,178,original
0.8,0.5,0.6,178,encoded
0.8,0.5,0.6,178,consolidated
0.2,0.1,0.3,178,imagined
0.8,0.6,0.7,179,original
0.8,0.6,0.7,179,encoded
0.8,0.6,0.7,179,consolidated
0.4,0.3,0.5,179,imagined
0.7,0.6,0.5,180,original
0.8,0.6,0.7,180,encoded
0.8,0.6,0.7,180,consolidated
0.4,0.3,0.4,180,imagined
0.8,0.6,0.7,181,original
0.7,0.5,0.6,181,encoded
0.7,0.5,0.6,181,consolidated
0.5,0.3,0.4,181,imagined
0.6,0.4,0.5,182,original
0.4,0.3,0.5,182,encoded
0.5,0.4,0.5,182,consolidated
0.3,0.2,0.4,182,imagined
0.6,0.4,0.5,183,original
0.6,0.4,0.5,183,encoded
0.4,0.3,0.4,183,consolidated
0.6,0.4,0.5,183,imagined
0.7,0.5,0.6,184,original
0.7,0.5,0.6,184,encoded
0.8,0.6,0.7,184,consolidated
0.8,0.7,0.6,184,imagined
0.6,0.5,0.5,185,original
0.7,0.6,0.5,185,encoded
0.7,0.6,0.5,185,consolidated
0.7,0.6,0.5,185,imagined
0.6,0.4,0.5,186,original
0.8,0.6,0.7,186,encoded
0.8,0.6,0.7,186,consolidated
0.3,0.2,0.4,186,imagined
0.8,0.6,0.7,187,original
0.8,0.6,0.7,187,encoded
0.8,0.6,0.7,187,consolidated
0.7,0.6,0.5,187,imagined
0.8,0.7,0.6,188,original
0.7,0.6,0.5,188,encoded
0.7,0.5,0.6,188,consolidated
0.5,0.4,0.5,188,imagined
0.8,0.5,0.7,189,original
0.6,0.4,0.5,189,encoded
0.7,0.5,0.6,189,consolidated
0.9,0.8,0.7,189,imagined
0.6,0.4,0.5,190,original
0.7,0.5,0.6,190,encoded
0.7,0.5,0.6,190,consolidated
0.4,0.3,0.5,190,imagined
0.7,0.6,0.5,191,original
0.6,0.4,0.5,191,encoded
0.6,0.4,0.5,191,consolidated
0.7,0.6,0.5,191,imagined
0.9,0.7,0.8,192,original
0.9,0.8,0.7,192,encoded
0.9,0.8,0.7,192,consolidated
0.9,0.8,0.7,192,imagined
0.7,0.4,0.5,193,original
0.5,0.3,0.4,193,encoded
0.4,0.2,0.3,193,consolidated
0.2,0.1,0.3,193,imagined
0.8,0.6,0.7,194,original
0.7,0.5,0.6,194,encoded
0.7,0.5,0.6,194,consolidated
0.8,0.6,0.7,194,imagined
0.7,0.6,0.5,195,original
0.5,0.4,0.5,195,encoded
0.4,0.5,0.4,195,consolidated
0.5,0.4,0.5,195,imagined
