concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,recAgnPairId,memType
0.9,0.8,0.7,,imagined
0.9,0.8,0.85,30LB5CDZNDWCKT1V77CH7Q2C71PZ09,retold
0.9,0.8,0.85,30LB5CDZNDWCKT1V77CH7Q2C71PZ09,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.7,30LB5CDZNDWCKT1V77CH7Q2C72D0Z0,retold
0.7,0.8,0.6,30LB5CDZNDWCKT1V77CH7Q2C72D0Z0,recalled
0.8,0.9,0.7,,imagined
0.5,0.4,0.5,,recalled
0.7,0.8,0.7,,imagined
0.5,0.4,0.6,30LSNF239VHXLDFZMQS9QJS18MII2Q,retold
0.6,0.7,0.5,30LSNF239VHXLDFZMQS9QJS18MII2Q,recalled
0.6,0.5,0.7,,imagined
0.8,0.7,0.8,,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.7,30MVJZJNHNZ4G8K4PHSOC7FFG7Z9JS,retold
0.9,0.8,0.7,30MVJZJNHNZ4G8K4PHSOC7FFG7Z9JS,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,retold
0.8,0.7,0.6,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,recalled
0.6,0.7,0.5,,imagined
0.8,0.9,0.8,30MVJZJNHNZ4G8K4PHSOC7FFOOU9JT,retold
0.8,0.9,0.8,30MVJZJNHNZ4G8K4PHSOC7FFOOU9JT,recalled
0.8,0.9,0.8,,imagined
0.8,0.9,0.8,,recalled
0.7,0.6,0.5,,imagined
0.9,0.8,0.9,,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,30MVJZJNHNZ4G8K4PHSOC7FFR889JE,retold
0.8,0.7,0.6,30MVJZJNHNZ4G8K4PHSOC7FFR889JE,recalled
0.5,0.4,0.5,,imagined
0.7,0.6,0.5,,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.9,0.7,,imagined
0.8,0.7,0.6,30X31N5D64CBKUDZ4HF203HMQFJASZ,retold
0.8,0.7,0.6,30X31N5D64CBKUDZ4HF203HMQFJASZ,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.5,,imagined
0.5,0.4,0.5,,recalled
0.7,0.6,0.5,,imagined
0.9,0.8,0.9,30ZX6P7VF9HTGOZ548D92K71IIJJ2A,retold
0.9,0.8,0.8,30ZX6P7VF9HTGOZ548D92K71IIJJ2A,recalled
0.8,0.7,0.7,3137ONMDKHRBK2LKPMN778OAFZ3EGI,retold
0.8,0.7,0.6,3137ONMDKHRBK2LKPMN778OAFZ3EGI,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,317HQ483I8ETAZ4S89QTI7VZIFNINQ,retold
0.7,0.6,0.5,317HQ483I8ETAZ4S89QTI7VZIFNINQ,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,,recalled
0.9,0.8,0.85,,imagined
0.9,0.8,0.9,,recalled
0.6,0.5,0.5,,imagined
0.6,0.5,0.4,,recalled
0.8,0.9,0.8,3180JW2OT5YLFLISMRF70RAD5BR5JJ,retold
0.8,0.9,0.8,3180JW2OT5YLFLISMRF70RAD5BR5JJ,recalled
0.6,0.7,0.5,,imagined
0.8,0.9,0.8,,recalled
0.9,0.8,0.85,,imagined
0.8,0.7,0.8,3180JW2OT5YLFLISMRF70RADUBGJ5B,retold
0.8,0.7,0.6,3180JW2OT5YLFLISMRF70RADUBGJ5B,recalled
0.5,0.4,0.5,,imagined
0.8,0.7,0.6,3180JW2OT5YLFLISMRF70RADULOJ53,retold
0.7,0.6,0.5,3180JW2OT5YLFLISMRF70RADULOJ53,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.9,,imagined
0.7,0.6,0.5,,recalled
0.7,0.6,0.5,,imagined
0.7,0.6,0.5,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,31EUONYN2WPGEQO48VPPCLLYEAMOV6,retold
0.7,0.6,0.5,31EUONYN2WPGEQO48VPPCLLYEAMOV6,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.85,,recalled
0.8,0.9,0.8,,imagined
0.8,0.9,0.85,,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.6,31HQ4X3T3TWSGD43184S9HXXK1NLSH,retold
0.8,0.7,0.6,31HQ4X3T3TWSGD43184S9HXXK1NLSH,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.9,,imagined
0.8,0.7,0.6,31HQ4X3T3TWSGD43184S9HXXLV6SLW,retold
0.8,0.7,0.7,31HQ4X3T3TWSGD43184S9HXXLV6SLW,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,31JLPPHS2VGW2HMLOLJJTQTFOKCO3H,retold
0.8,0.7,0.6,31JLPPHS2VGW2HMLOLJJTQTFOKCO3H,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,31JLPPHS2VGW2HMLOLJJTQTFP7UO3A,retold
0.8,0.7,0.6,31JLPPHS2VGW2HMLOLJJTQTFP7UO3A,recalled
0.8,0.9,0.8,,imagined
0.5,0.6,0.4,,imagined
0.7,0.8,0.6,,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,31LM9EDVOMEP5AOYQRBTU8AZVUDNJ8,retold
0.8,0.9,0.8,31LM9EDVOMEP5AOYQRBTU8AZVUDNJ8,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,31LM9EDVOMEP5AOYQRBTU8AZVWPNJO,retold
0.8,0.9,0.8,31LM9EDVOMEP5AOYQRBTU8AZVWPNJO,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,31LM9EDVOMEP5AOYQRBTU8AZWXMNJO,retold
0.8,0.7,0.6,31LM9EDVOMEP5AOYQRBTU8AZWXMNJO,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,retold
0.6,0.5,0.4,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,recalled
0.8,0.7,0.8,,imagined
0.7,0.6,0.5,31N2WW6R9SC2W49SPI0T6WK1N8AF3G,retold
0.5,0.6,0.5,31N2WW6R9SC2W49SPI0T6WK1N8AF3G,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.85,,imagined
0.8,0.7,0.6,31N2WW6R9SC2W49SPI0T6WK1X65F3H,retold
0.9,0.8,0.85,31N2WW6R9SC2W49SPI0T6WK1X65F3H,recalled
0.6,0.5,0.7,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.7,,imagined
0.8,0.9,0.8,,recalled
0.8,0.9,0.8,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,31Q0U3WYDQ1T78G7KVOYUBSNRAP718,retold
0.9,0.8,0.9,31Q0U3WYDQ1T78G7KVOYUBSNRAP718,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.7,,imagined
0.7,0.6,0.5,31QTRG6Q2UZF3KVAS6PO8KUI8DLPYY,retold
0.7,0.6,0.5,31QTRG6Q2UZF3KVAS6PO8KUI8DLPYY,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,,recalled
0.7,0.6,0.8,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.8,31T4R4OBOT2DUBQ50SDIB7BE48M7CF,retold
0.8,0.7,0.6,31T4R4OBOT2DUBQ50SDIB7BE48M7CF,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.9,0.8,0.9,,imagined
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,31T4R4OBOT2DUBQ50SDIB7BEXYSC7Z,retold
0.8,0.7,0.6,31T4R4OBOT2DUBQ50SDIB7BEXYSC7Z,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.7,,imagined
0.8,0.7,0.7,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,,imagined
0.9,0.8,0.85,,recalled
0.9,0.8,0.9,,imagined
0.8,0.7,0.8,,recalled
0.6,0.7,0.5,,imagined
0.8,0.7,0.6,31UV0MXWNRYPKAYM49U7OQVDSY9I5V,retold
0.7,0.6,0.5,31UV0MXWNRYPKAYM49U7OQVDSY9I5V,recalled
0.5,0.6,0.5,,imagined
0.6,0.5,0.5,31Z0PCVWUL1UGSSGME880HBIR0XT76,retold
0.7,0.6,0.5,31Z0PCVWUL1UGSSGME880HBIR0XT76,recalled
0.7,0.6,0.8,,imagined
0.6,0.5,0.7,,recalled
0.6,0.5,0.4,,imagined
0.4,0.5,0.6,31Z0PCVWUL1UGSSGME880HBIUKTT79,retold
0.4,0.5,0.3,31Z0PCVWUL1UGSSGME880HBIUKTT79,recalled
0.7,0.6,0.7,,imagined
0.8,0.7,0.6,,recalled
0.6,0.5,0.5,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,recalled
0.8,0.7,0.6,323Q6SJS8J2HQCGR43PVAQLB7HQFHU,retold
0.9,0.8,0.9,323Q6SJS8J2HQCGR43PVAQLB7HQFHU,recalled
0.4,0.3,0.5,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,recalled
0.7,0.8,0.6,,imagined
0.7,0.6,0.5,,recalled
0.6,0.5,0.5,,imagined
0.8,0.9,0.8,,recalled
0.6,0.7,0.5,,imagined
0.6,0.8,0.7,,recalled
0.8,0.9,0.8,,imagined
0.7,0.6,0.5,,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.7,0.6,0.5,,imagined
0.9,0.8,0.9,324G5B4FB4UT0JVPOCKYG69DUP1072,retold
0.9,0.8,0.9,324G5B4FB4UT0JVPOCKYG69DUP1072,recalled
0.7,0.8,0.6,,imagined
0.6,0.5,0.4,324G5B4FB4UT0JVPOCKYG69DUP770F,retold
0.6,0.5,0.5,324G5B4FB4UT0JVPOCKYG69DUP770F,recalled
0.8,0.7,0.6,,imagined
0.4,0.3,0.5,,recalled
0.8,0.7,0.6,,imagined
0.6,0.7,0.5,,recalled
0.8,0.9,0.8,,imagined
0.8,0.9,0.8,324G5B4FB4UT0JVPOCKYG69DW6870G,retold
0.8,0.9,0.8,324G5B4FB4UT0JVPOCKYG69DW6870G,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.7,326O153BMJK88IBTNWMZ1NLD27NED8,retold
0.8,0.9,0.8,326O153BMJK88IBTNWMZ1NLD27NED8,recalled
0.8,0.7,0.8,326O153BMJK88IBTNWMZ1NLD2KIEDT,retold
0.8,0.7,0.8,326O153BMJK88IBTNWMZ1NLD2KIEDT,recalled
0.5,0.4,0.5,,imagined
0.8,0.7,0.6,,imagined
0.9,0.8,0.85,326O153BMJK88IBTNWMZ1NLD37FED1,retold
0.8,0.7,0.7,326O153BMJK88IBTNWMZ1NLD37FED1,recalled
0.9,0.8,0.85,,imagined
0.6,0.5,0.5,326O153BMJK88IBTNWMZ1NLD38PDEC,retold
0.7,0.8,0.6,326O153BMJK88IBTNWMZ1NLD38PDEC,recalled
0.9,0.8,0.7,,imagined
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,326O153BMJK88IBTNWMZ1NLDA1CDES,retold
0.8,0.9,0.8,326O153BMJK88IBTNWMZ1NLDA1CDES,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,326O153BMJK88IBTNWMZ1NLDCIGDEW,retold
0.9,0.8,0.85,326O153BMJK88IBTNWMZ1NLDCIGDEW,recalled
0.7,0.6,0.5,,imagined
0.7,0.6,0.5,,imagined
0.6,0.5,0.5,326O153BMJK88IBTNWMZ1NLDCJPDE7,retold
0.8,0.7,0.6,326O153BMJK88IBTNWMZ1NLDCJPDE7,recalled
0.8,0.9,0.85,,imagined
0.9,0.8,0.85,,recalled
0.8,0.9,0.85,,imagined
0.8,0.7,0.6,32AT8R96GMVVZ3RXAMWT04TG0B2SU9,retold
0.8,0.9,0.8,32AT8R96GMVVZ3RXAMWT04TG0B2SU9,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.8,,imagined
0.8,0.9,0.7,,recalled
0.7,0.8,0.6,,imagined
0.7,0.8,0.6,,recalled
0.9,0.8,0.9,,imagined
0.4,0.5,0.3,32AT8R96GMVVZ3RXAMWT04TGPLUSUA,retold
0.7,0.6,0.5,32AT8R96GMVVZ3RXAMWT04TGPLUSUA,recalled
0.8,0.7,0.8,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,32AT8R96GMVVZ3RXAMWT04TGXSFSUH,retold
0.9,0.8,0.9,32AT8R96GMVVZ3RXAMWT04TGXSFSUH,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,32AT8R96GMVVZ3RXAMWT04TGXSGSUI,retold
0.8,0.7,0.6,32AT8R96GMVVZ3RXAMWT04TGXSGSUI,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.9,32EYX73OY1VJYORKVXWOAUOKD7YURX,retold
0.9,0.8,0.9,32EYX73OY1VJYORKVXWOAUOKD7YURX,recalled
0.9,0.8,0.8,,imagined
0.9,0.8,0.85,,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.5,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,,imagined
0.9,0.8,0.8,32KTQ2V7RE1UHGQPSE5GSZ7WK1U9MW,retold
0.9,0.8,0.8,32KTQ2V7RE1UHGQPSE5GSZ7WK1U9MW,recalled
0.8,0.7,0.6,,imagined
0.5,0.6,0.5,,recalled
0.7,0.8,0.6,,imagined
0.7,0.8,0.6,32KTQ2V7RE1UHGQPSE5GSZ7WTC7M9H,retold
0.7,0.8,0.6,32KTQ2V7RE1UHGQPSE5GSZ7WTC7M9H,recalled
0.8,0.9,0.8,,imagined
0.8,0.9,0.7,32KTQ2V7RE1UHGQPSE5GSZ7WV3EM98,retold
0.8,0.9,0.8,32KTQ2V7RE1UHGQPSE5GSZ7WV3EM98,recalled
0.9,0.8,0.9,,imagined
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,32M8BPYGAU8N07N6L5DYSNM275AGIJ,retold
0.7,0.6,0.5,32M8BPYGAU8N07N6L5DYSNM275AGIJ,recalled
0.8,0.7,0.6,,imagined
0.7,0.8,0.7,32M8BPYGAU8N07N6L5DYSNM2A02IG6,retold
0.8,0.7,0.6,32M8BPYGAU8N07N6L5DYSNM2A02IG6,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.6,0.5,0.5,,imagined
0.6,0.5,0.5,32M8BPYGAU8N07N6L5DYSNM2H3BIGS,retold
0.6,0.5,0.5,32M8BPYGAU8N07N6L5DYSNM2H3BIGS,recalled
0.8,0.7,0.8,,imagined
0.9,0.8,0.9,32M8BPYGAU8N07N6L5DYSNM2I5SGIC,retold
0.9,0.8,0.9,32M8BPYGAU8N07N6L5DYSNM2I5SGIC,recalled
0.9,0.8,0.9,,imagined
0.9,0.8,0.9,,recalled
0.7,0.6,0.5,,imagined
0.7,0.6,0.5,32N49TQG3H4RCMU3YCK7BQ1TPVWAVB,retold
0.8,0.7,0.6,32N49TQG3H4RCMU3YCK7BQ1TPVWAVB,recalled
0.7,0.8,0.6,,imagined
0.7,0.6,0.5,32N49TQG3H4RCMU3YCK7BQ1TQN1VAM,retold
0.8,0.7,0.8,32N49TQG3H4RCMU3YCK7BQ1TQN1VAM,recalled
0.6,0.5,0.5,,imagined
0.8,0.7,0.6,32N49TQG3H4RCMU3YCK7BQ1TQPPAVT,retold
0.8,0.9,0.8,32N49TQG3H4RCMU3YCK7BQ1TQPPAVT,recalled
0.7,0.8,0.6,,imagined
0.8,0.9,0.8,,recalled
0.6,0.5,0.5,,imagined
0.9,0.8,0.85,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,32Q90QCQ1T7GMOH3FD8M50G3MTFEK6,retold
0.8,0.7,0.6,32Q90QCQ1T7GMOH3FD8M50G3MTFEK6,recalled
0.7,0.6,0.5,,imagined
0.8,0.9,0.8,32Q90QCQ1T7GMOH3FD8M50G3NZUKE4,retold
0.9,0.8,0.85,32Q90QCQ1T7GMOH3FD8M50G3NZUKE4,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,32Q90QCQ1T7GMOH3FD8M50G3POPEK9,retold
0.8,0.7,0.6,32Q90QCQ1T7GMOH3FD8M50G3POPEK9,recalled
0.8,0.9,0.8,,imagined
0.7,0.8,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,32SCWG5HIIQDK0L4MNUWPTAP7MRP6X,retold
0.8,0.7,0.6,32SCWG5HIIQDK0L4MNUWPTAP7MRP6X,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.5,0.6,0.4,,imagined
0.9,0.8,0.8,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,32SCWG5HIIQDK0L4MNUWPTAPZS26PT,retold
0.7,0.6,0.5,32SCWG5HIIQDK0L4MNUWPTAPZS26PT,recalled
0.6,0.5,0.5,,imagined
0.8,0.7,0.9,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.9,0.8,0.9,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,32SVAV9L3GV70DSKE2E1SV9AZ393AY,retold
0.8,0.9,0.8,32SVAV9L3GV70DSKE2E1SV9AZ393AY,recalled
0.2,0.1,0.3,,imagined
0.7,0.6,0.5,32UTUBMZ7HIWVWZV4QK361LZ2PJBVS,retold
0.6,0.5,0.4,32UTUBMZ7HIWVWZV4QK361LZ2PJBVS,recalled
0.7,0.8,0.6,,imagined
0.8,0.7,0.8,32UTUBMZ7HIWVWZV4QK361LZAUTBVK,retold
0.8,0.9,0.8,32UTUBMZ7HIWVWZV4QK361LZAUTBVK,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,,recalled
0.5,0.6,0.4,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,32VNZTT0A8QKHQX5GR56XQQQ507R47,retold
0.7,0.6,0.5,32VNZTT0A8QKHQX5GR56XQQQ507R47,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,32VNZTT0A8QKHQX5GR56XQQQ5JAR4C,retold
0.8,0.7,0.6,32VNZTT0A8QKHQX5GR56XQQQ5JAR4C,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.7,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.8,,recalled
0.8,0.7,0.7,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,32XVDSJFP0JJHW5Q75Q1ICZIF002MO,retold
0.9,0.8,0.8,32XVDSJFP0JJHW5Q75Q1ICZIF002MO,recalled
0.7,0.8,0.7,,imagined
0.6,0.5,0.4,,imagined
0.7,0.8,0.6,,recalled
0.9,0.8,0.9,,imagined
0.8,0.7,0.6,32XVDSJFP0JJHW5Q75Q1ICZIOTNM2Q,retold
0.9,0.8,0.7,32XVDSJFP0JJHW5Q75Q1ICZIOTNM2Q,recalled
0.8,0.9,0.8,,imagined
0.7,0.6,0.5,32XVDSJFP0JJHW5Q75Q1ICZIPY32MX,retold
0.8,0.7,0.6,32XVDSJFP0JJHW5Q75Q1ICZIPY32MX,recalled
0.8,0.7,0.6,,imagined
0.8,0.9,0.8,32Z9ZLUT1M6BWPTK368LXKUP0FBOHE,retold
0.8,0.7,0.6,32Z9ZLUT1M6BWPTK368LXKUP0FBOHE,recalled
0.8,0.7,0.7,,imagined
0.7,0.6,0.5,,imagined
0.8,0.7,0.6,32Z9ZLUT1M6BWPTK368LXKUP7SROHR,retold
0.8,0.7,0.6,32Z9ZLUT1M6BWPTK368LXKUP7SROHR,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.7,0.6,0.5,32Z9ZLUT1M6BWPTK368LXKUP9EPHOS,retold
0.8,0.7,0.6,32Z9ZLUT1M6BWPTK368LXKUP9EPHOS,recalled
0.6,0.5,0.5,,imagined
0.8,0.7,0.6,,recalled
0.7,0.8,0.6,,imagined
0.7,0.6,0.5,32ZKVD547G9CJNXCKGEXN6TG8BC3BI,retold
0.7,0.6,0.5,32ZKVD547G9CJNXCKGEXN6TG8BC3BI,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,32ZKVD547G9CJNXCKGEXN6TG9E9B3U,retold
0.8,0.7,0.6,32ZKVD547G9CJNXCKGEXN6TG9E9B3U,recalled
0.6,0.5,0.5,,imagined
0.9,0.8,0.9,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.5,,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,,recalled
0.7,0.6,0.5,,imagined
0.8,0.7,0.7,3300DTYQT332XRFYSISJ1MSCTG1EQY,retold
0.8,0.9,0.8,3300DTYQT332XRFYSISJ1MSCTG1EQY,recalled
0.8,0.7,0.6,,imagined
0.8,0.7,0.6,3300DTYQT332XRFYSISJ1MSCTG9QEI,retold
0.8,0.7,0.6,3300DTYQT332XRFYSISJ1MSCTG9QEI,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.4,3300DTYQT332XRFYSISJ1MSCTHTEQS,retold
0.7,0.6,0.5,3300DTYQT332XRFYSISJ1MSCTHTEQS,recalled
0.9,0.8,0.7,,imagined
0.7,0.6,0.5,,recalled
0.8,0.7,0.6,,imagined
0.6,0.5,0.4,,imagined
