concrete_vs_abstract,rich_vs_poor_details,specific_vs_general,story_name,type,participant
0.7,0.8,0.6,oregontrail,recalled,P149
0.8,0.7,0.6,oregontrail,recalled,P150
0.8,0.9,0.85,oregontrail,recalled,P151
0.8,0.7,0.6,oregontrail,recalled,P153
0.6,0.5,0.5,oregontrail,recalled,P154
0.9,0.8,0.85,oregontrail,recalled,P155
0.8,0.7,0.6,oregontrail,recalled,P156
0.6,0.5,0.5,oregontrail,recalled,P157
0.7,0.8,0.7,oregontrail,recalled,P158
0.8,0.7,0.8,oregontrail,recalled,P159
0.8,0.7,0.6,oregontrail,recalled,P160
0.8,0.7,0.7,oregontrail,recalled,P161
0.9,0.8,0.85,oregontrail,recalled,P162
0.7,0.6,0.7,oregontrail,recalled,P163
0.7,0.6,0.5,oregontrail,recalled,P164
0.8,0.7,0.6,oregontrail,recalled,P165
0.8,0.9,0.8,oregontrail,recalled,P166
0.8,0.7,0.7,oregontrail,recalled,P167
0.8,0.9,0.8,oregontrail,recalled,P168
0.8,0.9,0.8,oregontrail,recalled,P169
0.8,0.7,0.6,oregontrail,recalled,P170
0.8,0.7,0.7,oregontrail,recalled,P171
0.9,0.8,0.7,oregontrail,recalled,P172
0.8,0.9,0.7,oregontrail,recalled,P173
0.7,0.8,0.6,oregontrail,recalled,P174
0.8,0.9,0.7,oregontrail,recalled,P175
0.8,0.7,0.6,oregontrail,recalled,P176
0.8,0.7,0.6,oregontrail,recalled,P177
0.8,0.9,0.8,oregontrail,recalled,P178
0.8,0.7,0.6,oregontrail,recalled,P179
0.8,0.9,0.8,oregontrail,recalled,P180
0.8,0.7,0.6,oregontrail,recalled,P181
0.9,0.8,0.85,oregontrail,recalled,P182
0.8,0.9,0.85,oregontrail,recalled,P183
0.7,0.8,0.6,oregontrail,recalled,P184
0.8,0.7,0.6,oregontrail,recalled,P185
0.6,0.5,0.4,oregontrail,recalled,P186
0.8,0.9,0.8,oregontrail,recalled,P187
0.8,0.9,0.8,oregontrail,recalled,P188
0.8,0.9,0.8,oregontrail,recalled,P189
0.4,0.3,0.5,oregontrail,recalled,P190
0.8,0.7,0.8,oregontrail,recalled,P191
0.7,0.8,0.6,oregontrail,recalled,P192
0.9,0.8,0.85,oregontrail,recalled,P193
0.8,0.9,0.8,oregontrail,recalled,P194
0.6,0.7,0.5,oregontrail,recalled,P195
0.9,0.8,0.85,oregontrail,recalled,P196
0.7,0.9,0.8,oregontrail,recalled,P197
0.8,0.9,0.8,oregontrail,recalled,P198
0.9,0.8,0.85,oregontrail,recalled,P199
0.8,0.7,0.6,oregontrail,recalled,P200
0.9,0.8,0.85,oregontrail,recalled,P201
0.9,0.8,0.9,oregontrail,recalled,P202
0.7,0.8,0.6,oregontrail,recalled,P203
0.7,0.6,0.5,oregontrail,recalled,P204
0.8,0.7,0.6,oregontrail,recalled,P205
0.9,0.8,0.85,oregontrail,recalled,P206
0.8,0.9,0.8,oregontrail,recalled,P207
0.8,0.9,0.8,oregontrail,recalled,P208
0.8,0.9,0.8,oregontrail,recalled,P209
0.9,0.8,0.9,oregontrail,recalled,P210
0.9,0.8,0.85,oregontrail,recalled,P211
0.9,0.8,0.85,oregontrail,recalled,P212
0.8,0.7,0.6,oregontrail,recalled,P213
0.7,0.8,0.6,oregontrail,recalled,P214
0.8,0.7,0.6,oregontrail,recalled,P215
0.7,0.8,0.6,oregontrail,recalled,P216
0.4,0.5,0.6,oregontrail,recalled,P217
0.8,0.9,0.8,oregontrail,recalled,P218
0.8,0.9,0.85,oregontrail,recalled,P219
0.8,0.9,0.7,oregontrail,recalled,P220
0.8,0.7,0.6,oregontrail,recalled,P221
0.9,0.8,0.85,oregontrail,recalled,P222
0.8,0.9,0.8,oregontrail,recalled,P223
0.8,0.9,0.8,oregontrail,recalled,P224
0.6,0.5,0.5,oregontrail,recalled,P225
0.8,0.9,0.8,oregontrail,recalled,P226
0.8,0.9,0.85,oregontrail,recalled,P227
0.9,0.8,0.9,oregontrail,recalled,P228
0.8,0.9,0.8,oregontrail,recalled,P229
0.8,0.7,0.6,pieman,recalled,P13
0.8,0.9,0.7,pieman,recalled,P14
0.8,0.7,0.6,pieman,recalled,P15
0.7,0.6,0.5,pieman,recalled,P16
0.6,0.7,0.5,pieman,recalled,P17
0.7,0.6,0.5,pieman,recalled,P18
0.8,0.7,0.6,pieman,recalled,P19
0.8,0.7,0.6,pieman,recalled,P1
0.7,0.8,0.6,pieman,recalled,P20
0.6,0.7,0.5,pieman,recalled,P21
0.7,0.6,0.5,pieman,recalled,P22
0.4,0.5,0.4,pieman,recalled,P23
0.7,0.6,0.5,pieman,recalled,P24
0.6,0.5,0.5,pieman,recalled,P25
0.5,0.6,0.4,pieman,recalled,P26
0.6,0.5,0.5,pieman,recalled,P27
0.4,0.3,0.5,pieman,recalled,P28
0.7,0.6,0.5,pieman,recalled,P29
0.7,0.8,0.6,pieman,recalled,P2
0.4,0.5,0.6,pieman,recalled,P30
0.7,0.6,0.5,pieman,recalled,P31
0.8,0.7,0.6,pieman,recalled,P32
0.8,0.7,0.6,pieman,recalled,P33
0.7,0.6,0.5,pieman,recalled,P34
0.6,0.7,0.5,pieman,recalled,P35
0.6,0.7,0.5,pieman,recalled,P36
0.8,0.9,0.7,pieman,recalled,P37
0.8,0.9,0.7,pieman,recalled,P38
0.7,0.6,0.7,pieman,recalled,P39
0.6,0.5,0.7,pieman,recalled,P3
0.6,0.5,0.4,pieman,recalled,P40
0.8,0.7,0.6,pieman,recalled,P41
0.6,0.7,0.5,pieman,recalled,P42
0.8,0.7,0.6,pieman,recalled,P43
0.5,0.4,0.5,pieman,recalled,P44
0.7,0.8,0.6,pieman,recalled,P45
0.7,0.8,0.6,pieman,recalled,P46
0.5,0.4,0.5,pieman,recalled,P47
0.6,0.7,0.5,pieman,recalled,P48
0.7,0.6,0.5,pieman,recalled,P49
0.7,0.6,0.5,pieman,recalled,P4
0.7,0.8,0.6,pieman,recalled,P50
0.8,0.7,0.6,pieman,recalled,P51
0.8,0.7,0.6,pieman,recalled,P52
0.7,0.8,0.6,pieman,recalled,P53
0.7,0.6,0.7,pieman,recalled,P54
0.7,0.8,0.6,pieman,recalled,P55
0.7,0.6,0.5,pieman,recalled,P56
0.8,0.7,0.6,pieman,recalled,P57
0.7,0.6,0.5,pieman,recalled,P58
0.8,0.9,0.8,pieman,recalled,P5
0.6,0.7,0.5,pieman,recalled,P60
0.8,0.7,0.6,pieman,recalled,P61
0.8,0.7,0.6,pieman,recalled,P62
0.6,0.5,0.5,pieman,recalled,P63
0.7,0.8,0.6,pieman,recalled,P64
0.6,0.5,0.4,pieman,recalled,P65
0.7,0.6,0.5,pieman,recalled,P66
0.7,0.6,0.5,pieman,recalled,P67
0.7,0.6,0.5,pieman,recalled,P68
0.7,0.6,0.5,pieman,recalled,P69
0.6,0.5,0.4,pieman,recalled,P6
0.6,0.5,0.7,pieman,recalled,P70
0.8,0.7,0.6,pieman,recalled,P71
0.7,0.8,0.6,pieman,recalled,P73
0.7,0.6,0.5,pieman,recalled,P74
0.7,0.8,0.6,pieman,recalled,P75
0.7,0.6,0.5,pieman,recalled,P76
0.7,0.8,0.6,pieman,recalled,P77
0.6,0.5,0.4,pieman,recalled,P78
0.7,0.8,0.6,pieman,recalled,P79
0.8,0.7,0.6,pieman,recalled,P7
0.7,0.6,0.5,pieman,recalled,P80
0.7,0.6,0.5,pieman,recalled,P81
0.7,0.8,0.6,pieman,recalled,P82
0.7,0.6,0.5,pieman,recalled,P83
0.7,0.8,0.6,pieman,recalled,P84
0.7,0.6,0.5,pieman,recalled,P85
0.7,0.6,0.5,pieman,recalled,P86
0.7,0.6,0.5,pieman,recalled,P87
0.7,0.6,0.5,pieman,recalled,P88
0.7,0.6,0.5,pieman,recalled,P89
0.7,0.8,0.6,pieman,recalled,P8
0.7,0.8,0.6,pieman,recalled,P90
0.8,0.9,0.7,pieman,recalled,P91
0.8,0.7,0.6,pieman,recalled,P92
0.7,0.6,0.5,pieman,recalled,P93
0.8,0.7,0.6,pieman,recalled,P94
0.7,0.6,0.5,pieman,recalled,P95
0.6,0.7,0.5,pieman,recalled,P96
0.6,0.5,0.5,pieman,recalled,P97
0.8,0.9,0.7,pieman,recalled,P98
0.7,0.6,0.5,pieman,recalled,P99
0.7,0.8,0.6,pieman,recalled,P9
