Error type,Story type,Value type,Proportion,95% CI
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.09090909090909091,
Extension errors,Incomplete,Individual,0.125,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.1,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.08333333333333333,
Omission errors,Updated,Mean,0.6043019480519481,0.056514987134281554
Omission errors,Updated,Individual,0.4,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.08333333333333333,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.875,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.16666666666666666,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.9,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,0.4166666666666667,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.25,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.45454545454545453,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.875,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.8181818181818182,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.7,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,0.25,
Omission errors,Updated,Individual,0.9,
Omission errors,Updated,Individual,0.6363636363636364,
Omission errors,Updated,Individual,0.75,
Extension errors,Updated,Mean,0.003273809523809524,0.004616517748491571
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.08333333333333333,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.1,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
