Error type,Story type,Value type,Proportion,95% CI
Extension errors,Incomplete,Individual,0.1111111111111111,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.5555555555555556,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.3,
Extension errors,Incomplete,Individual,0.2857142857142857,
Extension errors,Incomplete,Individual,0.7142857142857143,
Extension errors,Incomplete,Individual,0.4,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.5454545454545454,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,1.0,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.14285714285714285,
Extension errors,Incomplete,Individual,0.18181818181818182,
Extension errors,Incomplete,Individual,1.0,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.36363636363636365,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,0.14285714285714285,
Extension errors,Incomplete,Individual,0.75,
Extension errors,Incomplete,Individual,0.09090909090909091,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.45454545454545453,
Extension errors,Incomplete,Individual,0.4,
Extension errors,Incomplete,Individual,0.4166666666666667,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,0.45454545454545453,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.42857142857142855,
Extension errors,Incomplete,Individual,0.5,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.36363636363636365,
Extension errors,Incomplete,Individual,0.4444444444444444,
Extension errors,Incomplete,Individual,0.16666666666666666,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.18181818181818182,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.08333333333333333,
Extension errors,Incomplete,Individual,0.4,
Extension errors,Incomplete,Individual,0.18181818181818182,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.2857142857142857,
Extension errors,Incomplete,Individual,0.2857142857142857,
Extension errors,Incomplete,Individual,0.36363636363636365,
Extension errors,Incomplete,Individual,0.5555555555555556,
Extension errors,Incomplete,Individual,0.375,
Extension errors,Incomplete,Individual,0.4166666666666667,
Extension errors,Incomplete,Individual,0.1111111111111111,
Extension errors,Incomplete,Individual,0.1111111111111111,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.25,
Extension errors,Incomplete,Individual,0.14285714285714285,
Extension errors,Incomplete,Individual,0.6666666666666666,
Extension errors,Incomplete,Individual,0.42857142857142855,
Extension errors,Incomplete,Individual,0.1,
Extension errors,Incomplete,Individual,0.625,
Extension errors,Incomplete,Individual,0.3333333333333333,
Extension errors,Incomplete,Individual,0.0,
Extension errors,Incomplete,Individual,0.16666666666666666,
Omission errors,Updated,Mean,0.687341956984814,0.05842628731561855
Omission errors,Updated,Individual,0.7142857142857143,
Omission errors,Updated,Individual,0.875,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.7,
Omission errors,Updated,Individual,0.8888888888888888,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.25,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.8571428571428571,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.7777777777777778,
Omission errors,Updated,Individual,0.625,
Omission errors,Updated,Individual,0.8571428571428571,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.4,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.875,
Omission errors,Updated,Individual,0.4,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,0.0,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.7,
Omission errors,Updated,Individual,0.09090909090909091,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.0,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.5454545454545454,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.625,
Omission errors,Updated,Individual,0.0,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.625,
Omission errors,Updated,Individual,0.6363636363636364,
Omission errors,Updated,Individual,0.5714285714285714,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.5714285714285714,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.7777777777777778,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.8181818181818182,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.9,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.9,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.6,
Omission errors,Updated,Individual,0.3333333333333333,
Omission errors,Updated,Individual,0.2,
Omission errors,Updated,Individual,0.7777777777777778,
Omission errors,Updated,Individual,0.25,
Omission errors,Updated,Individual,0.6363636363636364,
Omission errors,Updated,Individual,0.9,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.5,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.8571428571428571,
Omission errors,Updated,Individual,0.2,
Omission errors,Updated,Individual,0.5833333333333334,
Omission errors,Updated,Individual,0.8571428571428571,
Omission errors,Updated,Individual,0.6666666666666666,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.0,
Omission errors,Updated,Individual,0.75,
Omission errors,Updated,Individual,0.8333333333333334,
Omission errors,Updated,Individual,0.8,
Omission errors,Updated,Individual,0.6363636363636364,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,0.625,
Omission errors,Updated,Individual,0.6363636363636364,
Omission errors,Updated,Individual,1.0,
Omission errors,Updated,Individual,1.0,
Extension errors,Updated,Mean,0.07801183604755033,0.02673962221123862
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.1,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.5,
Extension errors,Updated,Individual,0.08333333333333333,
Extension errors,Updated,Individual,0.4,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.2,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.08333333333333333,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.6363636363636364,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.09090909090909091,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.1111111111111111,
Extension errors,Updated,Individual,0.09090909090909091,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.25,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.18181818181818182,
Extension errors,Updated,Individual,0.2857142857142857,
Extension errors,Updated,Individual,0.08333333333333333,
Extension errors,Updated,Individual,0.2857142857142857,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.09090909090909091,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.25,
Extension errors,Updated,Individual,0.1,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.4,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.09090909090909091,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.16666666666666666,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.16666666666666666,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.1,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.2,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.16666666666666666,
Extension errors,Updated,Individual,0.2,
Extension errors,Updated,Individual,0.18181818181818182,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.125,
Extension errors,Updated,Individual,0.18181818181818182,
Extension errors,Updated,Individual,0.0,
Extension errors,Updated,Individual,0.0,
